key,en,ko,ar,ja,source
"BLOG[2].sections[0].p[0]","Cosmetic and selected elective procedures at registered clinics qualify for a foreigner medical tax refund. Your clinic marks eligibility on the receipt at checkout.","등록된 의료기관의 미용·일부 선택 시술은 외국인 의료 세금 환급 대상입니다. 결제 시 병원이 영수증에 대상 여부를 표시합니다.","تكون إجراءات التجميل وبعض الإجراءات الاختيارية في العيادات المسجّلة مؤهلة لاسترداد الضريبة الطبية للأجانب. وتحدّد عيادتك الأهلية على الإيصال عند الدفع.","登録医療機関での美容および一部の選択的施術は、外国人向け医療税還付の対象です。会計時にクリニックが領収書に対象可否を記載します。","data.js"
"BLOG[2].sections[1].h","Keep these documents","챙겨야 할 서류","احتفظ بهذه المستندات","保管すべき書類","data.js"
"BLOG[2].sections[1].p[0]","Hold on to the tax-refund receipt and the documents CareBridge issues. You'll need your passport and the original receipts at the kiosk.","세금환급 영수증과 케어브릿지이 발급한 서류를 보관하세요. 키오스크에서 여권과 원본 영수증이 필요합니다.","احتفظ بإيصال استرداد الضريبة وبالمستندات التي يصدرها CareBridge. ستحتاج إلى جواز سفرك والإيصالات الأصلية عند الكشك.","税還付の領収書と CareBridge が発行する書類を保管してください。キオスクではパスポートと原本の領収書が必要です。","data.js"
"BLOG[2].sections[2].h","Claiming at the airport","공항에서 환급받기","الاسترداد في المطار","空港での還付手続き","data.js"
"BLOG[2].sections[2].p[0]","Before departure, scan your documents at the airport refund kiosk and receive cash or a card refund. Allow extra time during peak travel hours.","출국 전 공항 환급 키오스크에서 서류를 스캔하고 현금 또는 카드로 환급받으세요. 성수기에는 여유 시간을 두세요.","قبل المغادرة، امسح مستنداتك ضوئياً في كشك الاسترداد بالمطار واحصل على المبلغ نقداً أو على البطاقة. واحتسب وقتاً إضافياً في ساعات الذروة.","出国前に空港の還付キオスクで書類をスキャンし、現金またはカードで還付を受けます。繁忙時間帯は余裕をもってお越しください。","data.js"
"BLOG[3].author","CareBridge Editorial","케어브릿지 편집팀","فريق تحرير CareBridge","CareBridge 編集部","data.js"
"BLOG[3].title","Where to Recover in Seoul After a Procedure","시술 후 서울에서 회복하기 좋은 곳","أين تتعافى في سيول بعد الإجراء","施術後、ソウルで回復するのに適した場所","data.js"
"BLOG[3].excerpt","Quiet neighborhoods, aftercare-friendly stays and how to plan a comfortable recovery window.","조용한 동네, 회복에 좋은 숙소, 그리고 편안한 회복 기간을 계획하는 법.","أحياء هادئة، وأماكن إقامة مناسبة للرعاية اللاحقة، وكيفية التخطيط لفترة تعافٍ مريحة.","静かな街、アフターケアに適した宿泊先、そして快適な回復期間の計画の立て方。","data.js"
"BLOG[3].sections[0].h","Plan your recovery window","회복 기간 계획하기","خطّط لفترة تعافيك","回復期間を計画する","data.js"
"BLOG[3].sections[0].p[0]","Match your stay to the procedure. A day checkup needs no downtime; surgery may call for several quiet days near your clinic before you're cleared to fly.","시술에 맞춰 체류 기간을 정하세요. 당일 검진은 휴식이 필요 없지만, 수술은 귀국 허가 전 병원 근처에서 며칠의 안정이 필요할 수 있습니다.","طابِق مدة إقامتك مع الإجراء. فالفحص اليومي لا يتطلّب فترة نقاهة؛ أما الجراحة فقد تستدعي عدة أيام هادئة قرب عيادتك قبل السماح لك بالسفر جواً.","施術内容に合わせて滞在期間を決めましょう。日帰り検診に休養は不要ですが、手術の場合は搭乗許可が出るまでクリニック近くで数日の安静が必要なこともあります。","data.js"
"BLOG[3].sections[1].h","Aftercare-friendly stays","회복에 좋은 숙소","أماكن إقامة مناسبة للرعاية اللاحقة","アフターケアに適した宿泊先","data.js"
"BLOG[3].sections[1].p[0]","Look for step-free access, room service and proximity to your clinic. CareBridge can book partner stays with late checkout and airport transfers built in.","계단 없는 동선, 룸서비스, 병원과의 근접성을 확인하세요. 케어브릿지은 늦은 체크아웃과 공항 이동이 포함된 제휴 숙소를 예약해 드립니다.","ابحث عن مدخل خالٍ من الدرجات وخدمة الغرف والقرب من عيادتك. ويمكن لـ CareBridge حجز أماكن إقامة شريكة تشمل تسجيل خروج متأخّراً ونقلاً من المطار وإليه.","段差のない動線、ルームサービス、クリニックへの近さを確認しましょう。CareBridge はレイトチェックアウトや空港送迎付きの提携宿泊先を予約できます。","data.js"
"BLOG[3].sections[2].h","Calm neighborhoods","차분한 동네","أحياء هادئة","落ち着いた街","data.js"
"BLOG[3].sections[2].p[0]","Seocho, Yeonnam and parts of Gangnam offer quiet streets, pharmacies and cafés within walking distance — ideal while you take it easy.","서초·연남·강남 일부는 조용한 거리와 약국·카페가 도보권에 있어 편히 쉬기에 좋습니다.","توفّر سيوتشو ويونّام وأجزاء من غانغنام شوارع هادئة وصيدليات ومقاهي على مسافة قريبة سيراً — مثالية بينما تأخذ راحتك.","瑞草（ソチョ）、延南（ヨンナム）、江南（カンナム）の一部は、静かな通りや薬局・カフェが徒歩圏にあり、ゆっくり過ごすのに最適です。","data.js"
"BLOG[4].author","Dr. S. Park","박 원장","د. س. بارك","パク・S 医師","data.js"
"BLOG[4].title","Dental Implants in Korea: Quality Meets Value","한국의 임플란트: 품질과 가치의 균형","زراعة الأسنان في كوريا: الجودة تلتقي بالقيمة","韓国のインプラント：品質と価値の両立","data.js"
"BLOG[4].excerpt","Why patients travel for implants — digital planning, same-week workflows and transparent pricing.","환자들이 임플란트를 위해 한국을 찾는 이유 — 디지털 설계, 당주 진행, 투명한 가격.","لماذا يسافر المرضى لزراعة الأسنان — تخطيط رقمي، وإجراءات في نفس الأسبوع، وأسعار شفافة.","患者がインプラントのために韓国を訪れる理由 — デジタル設計、同一週での進行、透明な価格。","data.js"
"BLOG[4].sections[0].h","Digital, precise planning","디지털 정밀 설계","تخطيط رقمي دقيق","デジタルで精密な設計","data.js"
"BLOG[4].sections[0].p[0]","3D scans and guided surgery let Korean clinics place implants with tight precision, shortening chair time and improving fit.","3D 스캔과 가이드 수술로 한국 클리닉은 임플란트를 정밀하게 식립합니다. 진료 시간을 줄이고 적합도를 높입니다.","تتيح عمليات المسح ثلاثي الأبعاد والجراحة الموجَّهة للعيادات الكورية زرع الغرسات بدقة عالية، ما يقلّل وقت الجلوس على الكرسي ويحسّن الملاءمة.","3Dスキャンとガイドサージェリーにより、韓国のクリニックはインプラントを高精度で埋入し、チェアタイムを短縮して適合性を高めます。","data.js"
"BLOG[4].sections[1].h","A realistic timeline","현실적인 일정","جدول زمني واقعي","現実的なスケジュール","data.js"
"BLOG[4].sections[1].p[0]","Osseointegration still takes months, but the surgical and prosthetic visits can be compressed. Plan two trips, or a single longer stay with CareBridge coordinating both stages.","골유착에는 여전히 수개월이 걸리지만, 수술과 보철 방문은 압축할 수 있습니다. 두 번의 방문 또는 케어브릿지이 두 단계를 조율하는 한 번의 긴 체류를 계획하세요.","لا يزال الاندماج العظمي يستغرق أشهراً، لكن يمكن ضغط زيارات الجراحة والتركيبات. خطّط لرحلتين، أو لإقامة واحدة أطول ينسّق فيها CareBridge كلتا المرحلتين.","骨結合には依然として数か月かかりますが、手術と補綴の通院は圧縮できます。2回の渡航、または CareBridge が両段階を調整する1回の長期滞在を計画しましょう。","data.js"
"BLOG[5].author","CareBridge Editorial","케어브릿지 편집팀","فريق تحرير CareBridge","CareBridge 編集部","data.js"
"BLOG[5].title","Understanding Korea's Medical Visa","한국 의료 비자 완전 정복","دليلك إلى التأشيرة الطبية الكورية","韓国の医療ビザ完全ガイド","data.js"
"BLOG[5].excerpt","Who needs one, what documents to prepare, and how CareBridge supports your application.","누가 필요하고, 어떤 서류를 준비하며, 케어브릿지이 신청을 어떻게 돕는지.","من يحتاجها، وما المستندات التي يجب تجهيزها، وكيف يدعم CareBridge طلبك.","誰に必要か、どんな書類を準備するか、そして CareBridge がどう申請を支援するか。","data.js"
"BLOG[5].sections[0].h","Who needs a medical visa","누가 의료 비자가 필요한가","من يحتاج إلى تأشيرة طبية","医療ビザが必要な人","data.js"
"BLOG[5].sections[0].p[0]","Short checkups often fit within a tourist entry, but longer treatment or repeated visits may call for a C-3-3 or G-1-10 medical visa. Your treatment plan determines the route.","짧은 검진은 관광 입국으로 가능하지만, 장기 치료나 반복 방문은 C-3-3 또는 G-1-10 의료 비자가 필요할 수 있습니다. 치료 계획이 경로를 결정합니다.","غالباً ما تتّسع تأشيرة السياحة للفحوصات القصيرة، لكن العلاج الأطول أو الزيارات المتكرّرة قد يتطلّب تأشيرة طبية من نوع C-3-3 أو G-1-10. وخطة علاجك هي التي تحدّد المسار.","短期の検診は観光入国で対応できることが多いですが、長期治療や繰り返しの来訪には C-3-3 または G-1-10 医療ビザが必要になる場合があります。治療計画によって経路が決まります。","data.js"
"BLOG[5].sections[1].h","Documents to prepare","준비할 서류","المستندات المطلوب تجهيزها","準備する書類","data.js"
"BLOG[5].sections[1].p[0]","You'll typically need a treatment confirmation from the hospital, proof of funds and travel details. CareBridge issues the medical documentation invitation letters rely on.","보통 병원의 진료 확인서, 재정 증빙, 여행 정보가 필요합니다. 케어브릿지은 초청장이 근거로 삼는 의료 서류를 발급합니다.","ستحتاج عادةً إلى تأكيد علاج من المستشفى وإثبات مالي وتفاصيل السفر. ويصدر CareBridge المستندات الطبية التي تعتمد عليها خطابات الدعوة.","通常、病院の治療確認書、資金証明、渡航情報が必要です。CareBridge は招へい状の根拠となる医療書類を発行します。","data.js"
"BLOG[5].sections[2].h","How CareBridge helps","케어브릿지의 지원","كيف يساعد CareBridge","CareBridge の支援","data.js"
"BLOG[5].sections[2].p[0]","From the invitation letter to appointment scheduling that matches your visa window, we align the paperwork with your itinerary so nothing stalls at the consulate.","초청장부터 비자 기간에 맞춘 예약까지, 서류와 일정을 정렬해 영사관에서 지체되는 일이 없도록 합니다.","من خطاب الدعوة إلى جدولة المواعيد بما يتوافق مع فترة تأشيرتك، ننسّق الأوراق مع برنامج رحلتك حتى لا يتعطّل شيء لدى القنصلية.","招へい状からビザ期間に合わせた予約調整まで、書類と日程を整合させ、領事館で滞ることがないようにします。","data.js"
"BLOG_CATS[0]","Health Checkup","건강검진","","","data.js"
"BLOG_CATS[1]","Procedures","시술·수술","","","data.js"
"BLOG_CATS[2]","Travel Guide","여행 가이드","","","data.js"
"BLOG_CATS[3]","Insights","인사이트","","","data.js"
"CERTS.title","Officially Certified by the Korean Government.","대한민국 정부 공식 인증.","معتمد رسميًّا من الحكومة الكورية.","大韓民国政府による公式認証。","data.js"
"CERTS.orgs[0].sub","Medical Korea","메디컬 코리아","Medical Korea","Medical Korea","data.js"
"CERTS.orgs[1].sub","Ministry of Health and Welfare","보건복지부","وزارة الصحة والرعاية الاجتماعية","保健福祉部","data.js"
"CERTS.orgs[2].sub","Korea Health Industry Development Institute","한국보건산업진흥원","المعهد الكوري لتطوير الصناعة الصحية","韓国保健産業振興院","data.js"
"CHECKUP.eyebrow","Health Check-up","건강검진","الفحص الصحي","健康診断","data.js"
"CHECKUP.title","Health Check-up","건강검진","الفحص الصحي","健康診断","data.js"
"CHECKUP.sub","Korea offers health checkups with cutting-edge technology and affordable prices — helping you live longer, healthier, and worry-free.","한국은 최첨단 기술과 합리적인 가격의 건강검진을 제공합니다 — 더 길고, 더 건강하고, 걱정 없는 삶을 돕습니다.","تقدّم كوريا فحوصات صحية بتقنيات متطورة وأسعار معقولة — لمساعدتك على حياة أطول وأكثر صحة وخالية من القلق.","韓国は最先端の技術とお手頃な価格で健康診断を提供し、より長く、より健康で、心配のない生活をサポートします。","data.js"
"CHECKUP.packages[0].tag","EXCLUSIVE","단독","حصري","限定","data.js"
"CHECKUP.packages[0].name","Comprehensive Check-up","종합 건강검진","الفحص الشامل","総合健康診断","data.js"
"CHECKUP.packages[0].desc","A wide-range screening covering blood, imaging and core organ function — the essential annual checkup.","혈액·영상·핵심 장기 기능을 폭넓게 검사하는 필수 연간 검진.","فحص واسع النطاق يشمل الدم والتصوير ووظائف الأعضاء الأساسية — الفحص السنوي الضروري.","血液・画像診断・主要臓器機能を幅広くカバーする、欠かせない年次検診。","data.js"
"CHECKUP.packages[0].includes[0]","Blood & urine panel","혈액·소변 검사","تحليل الدم والبول","血液・尿検査","data.js"
"CHECKUP.packages[0].includes[1]","Abdominal ultrasound","복부 초음파","الموجات فوق الصوتية للبطن","腹部超音波","data.js"
"CHECKUP.packages[0].includes[2]","Chest X-ray & ECG","흉부 X-ray·심전도","أشعة الصدر السينية وتخطيط القلب","胸部X線・心電図","data.js"
"CHECKUP.packages[0].includes[3]","Gastroscopy (optional)","위내시경(선택)","تنظير المعدة (اختياري)","胃内視鏡検査（オプション）","data.js"
"CHECKUP.packages[0].includes[4]","Specialist consultation","전문의 상담","استشارة أخصائي","専門医相談","data.js"
"CHECKUP.packages[1].tag","EXCLUSIVE","단독","حصري","限定","data.js"
"CHECKUP.packages[1].name","Whole Body MRI Check-up","전신 MRI 검진","فحص MRI للجسم بالكامل","全身MRI検診","data.js"
"CHECKUP.packages[1].desc","Full-body MRI to detect tumors and abnormalities early — no radiation, high resolution.","종양·이상을 조기에 발견하는 전신 MRI — 방사선 없이 고해상도.","تصوير بالرنين المغناطيسي للجسم بالكامل للكشف المبكر عن الأورام والتشوهات — بدون إشعاع ودقة عالية.","腫瘍や異常を早期に発見する全身MRI — 被ばくなし、高解像度。","data.js"
"CHECKUP.packages[1].includes[0]","Whole-body MRI scan","전신 MRI 촬영","فحص MRI للجسم بالكامل","全身MRI撮影","data.js"
"CHECKUP.packages[1].includes[1]","Brain & spine MRI","뇌·척추 MRI","MRI للدماغ والعمود الفقري","脳・脊椎MRI","data.js"
"CHECKUP.packages[1].includes[2]","MRA vascular screening","MRA 혈관 검사","فحص الأوعية الدموية بتقنية MRA","MRA血管検査","data.js"
"CHECKUP.packages[1].includes[3]","Radiologist reading","영상의학과 판독","قراءة أخصائي الأشعة","放射線科医による読影","data.js"
"CHECKUP.packages[1].includes[4]","Comprehensive report","종합 리포트","تقرير شامل","総合レポート","data.js"
"CHECKUP.packages[2].name","Hospital-based Check-up","병원 지정 검진","فحص في المستشفى","病院指定検診","data.js"
"CHECKUP.packages[2].price","Custom","맞춤","مخصص","カスタム","data.js"
"CHECKUP.packages[2].desc","Tailored programs at top tertiary hospitals — choose the hospital and scope that fit you.","상급 종합병원의 맞춤 프로그램 — 병원과 범위를 직접 선택.","برامج مخصصة في أفضل المستشفيات الجامعية — اختر المستشفى والنطاق المناسبين لك.","上級総合病院のオーダーメイドプログラム — 病院と検査範囲をご自身で選択。","data.js"
"CHECKUP.packages[2].includes[0]","Choose your hospital","병원 직접 선택","اختر مستشفاك","病院を自由に選択","data.js"
"CHECKUP.packages[2].includes[1]","Customizable scope","범위 맞춤 구성","نطاق قابل للتخصيص","検査範囲のカスタマイズ","data.js"
"CHECKUP.packages[2].includes[2]","PET-CT add-on available","PET-CT 추가 가능","إمكانية إضافة PET-CT","PET-CT追加可能","data.js"
"CHECKUP.packages[2].includes[3]","VIP screening option","VIP 검진 옵션","خيار الفحص لكبار الشخصيات (VIP)","VIP検診オプション","data.js"
"CHECKUP.packages[2].includes[4]","Coordinator support","코디네이터 지원","دعم منسّق","コーディネーターによるサポート","data.js"
"CHECKUP.packages[3].tag","NEW","신규","جديد","新着","data.js"
"CHECKUP.packages[3].name","MRI & CT Scan","MRI·CT 스캔","فحص MRI وCT","MRI・CTスキャン","data.js"
"CHECKUP.packages[3].price","From USD 349","USD 349~","ابتداءً من 349 USD","USD 349~","data.js"
"CHECKUP.packages[3].desc","Targeted MRI and low-dose CT scans — choose by body region, from a 3-minute lung scan to a full skeletal and neurological assessment.","부위별 정밀 MRI·저선량 CT 스캔 — 3분 폐 스캔부터 전신 근골격·신경 평가까지 원하는 범위를 선택.","فحوصات MRI مستهدفة وCT بجرعة منخفضة — اختر حسب منطقة الجسم، من فحص رئة في 3 دقائق إلى تقييم شامل للهيكل العظمي والأعصاب.","部位別の精密MRIと低線量CTスキャン — 3分の肺スキャンから全身の筋骨格・神経評価まで、部位ごとに選択できます。","data.js"
"CHECKUP.packages[3].includes[0]","MRI Scan (Head/Neck/Abdomen/Pelvis)","MRI 스캔(머리/목/복부/골반)","فحص MRI (الرأس/الرقبة/البطن/الحوض)","MRIスキャン（頭部/頸部/腹部/骨盤）","data.js"
"CHECKUP.packages[3].includes[1]","MRI with Spine","MRI + 척추","MRI مع العمود الفقري","MRI + 脊椎","data.js"
"CHECKUP.packages[3].includes[2]","MRI with Skeletal & Neurological","MRI + 근골격·신경 평가","MRI مع تقييم الهيكل العظمي والأعصاب","MRI + 筋骨格・神経評価","data.js"
"CHECKUP.packages[3].includes[3]","Heart CT (CAC score)","심장 CT(CAC 점수)","CT للقلب (درجة CAC)","心臓CT（CACスコア）","data.js"
"CHECKUP.packages[3].includes[4]","Lung CT","폐 CT","CT للرئة","肺CT","data.js"
"FAQS[0].q","What is the difference between MRI and MRA?","MRI와 MRA의 차이는 무엇인가요?","ما الفرق بين MRI وMRA؟","MRIとMRAの違いは何ですか？","data.js"
"FAQS[0].a","MRI images organs and soft tissues to detect tumors and abnormalities, while MRA focuses on blood vessels to screen for aneurysms and stenosis. Our whole-body package includes both.","MRI는 장기·연조직을 촬영해 종양과 이상을 찾고, MRA는 혈관에 집중해 동맥류·협착을 검사합니다. 전신 패키지에는 두 가지가 모두 포함됩니다.","يصوّر MRI الأعضاء والأنسجة الرخوة للكشف عن الأورام والتشوهات، بينما يركّز MRA على الأوعية الدموية لفحص تمدد الأوعية والتضيّق. تشمل باقتنا للجسم بالكامل كليهما.","MRIは臓器や軟部組織を撮影して腫瘍や異常を検出し、MRAは血管に焦点を当てて動脈瘤や狭窄を検査します。全身パッケージには両方が含まれます。","data.js"
"FAQS[1].q","Is tax refund available for medical services in Korea?","한국 의료 서비스에 세금 환급이 가능한가요?","هل استرداد الضريبة متاح على الخدمات الطبية في كوريا؟","韓国の医療サービスで税金還付は受けられますか？","data.js"
"FAQS[1].a","Yes. Many cosmetic and selected medical services qualify for a foreigner tax refund. CareBridge issues the required documents at checkout so you can claim it at the airport.","네. 다수의 미용 및 일부 의료 서비스는 외국인 세금 환급 대상입니다. CareBridge이 결제 시 필요 서류를 발급해 드려 공항에서 환급받으실 수 있습니다.","نعم. تخضع العديد من الخدمات التجميلية وخدمات طبية مختارة لاسترداد الضريبة للأجانب. تصدر CareBridge المستندات المطلوبة عند الدفع لتتمكن من استرداد المبلغ في المطار.","はい。多くの美容施術および一部の医療サービスは外国人向け税金還付の対象です。CareBridgeが決済時に必要書類を発行いたしますので、空港で還付を申請できます。","data.js"
"FAQS[2].q","What is the refund policy if I cancel my reservation?","예약을 취소하면 환불 정책은 어떻게 되나요?","ما سياسة الاسترداد في حال إلغاء الحجز؟","予約をキャンセルした場合の返金規定はどうなりますか？","data.js"
"FAQS[2].a","A full refund is available if you cancel before the confirmation deadline. After confirmation, a 50% refund of the paid amount applies depending on timing.","확정 기한 이전 취소 시 전액 환불됩니다. 확정 이후에는 시점에 따라 결제 금액의 50%가 환불됩니다.","يتوفر استرداد كامل للمبلغ إذا ألغيت الحجز قبل الموعد النهائي للتأكيد. بعد التأكيد، يُطبّق استرداد بنسبة 50% من المبلغ المدفوع حسب التوقيت.","確定期限前にキャンセルされた場合は全額返金されます。確定後は、時期に応じてお支払い金額の50%が返金されます。","data.js"
